id;Gemeente;Screening;Percentage;
285;Voorst;Darmkanker 2024;76,3;
638;Zoeterwoude;Darmkanker 2024;76,3;
1690;De Wolden;Darmkanker 2024;76,2;
160;Hardenberg;Darmkanker 2024;76,2;
244;Hattem;Borstkanker 2022-2024;76,1;
1742;Rijssen-Holten;Darmkanker 2024;76,1;
1896;Zwartewaterland;Darmkanker 2024;76,1;
785;Goirle;Borstkanker 2022-2024;76;
168;Losser;Borstkanker 2022-2024;76;
1948;Meierijstad;Darmkanker 2024;76;
1945;Berg en Dal;Borstkanker 2022-2024;75,9;
797;Heusden;Darmkanker 2024;75,9;
1659;Laarbeek;Darmkanker 2024;75,9;
944;Mook en Middelaar;Darmkanker 2024;75,9;
1734;Overbetuwe;Darmkanker 2024;75,9;
865;Vught;Borstkanker 2022-2024;75,9;
893;Bergen (L);Darmkanker 2024;75,8;
736;De Ronde Venen;Borstkanker 2022-2024;75,8;
1774;Dinkelland;Darmkanker 2024;75,8;
797;Heusden;Borstkanker 2022-2024;75,8;
1991;Maashorst;Darmkanker 2024;75,8;
267;Nijkerk;Borstkanker 2022-2024;75,8;
450;Uitgeest;Borstkanker 2022-2024;75,8;
1728;Bladel;Darmkanker 2024;75,7;
230;Elburg;Darmkanker 2024;75,7;
1658;Heeze-Leende;Borstkanker 2022-2024;75,7;
277;Rozendaal;Darmkanker 2024;75,7;
197;Aalten;Borstkanker 2022-2024;75,6;
888;Beek;Borstkanker 2022-2024;75,6;
757;Boxtel;Borstkanker 2022-2024;75,6;
226;Duiven;Darmkanker 2024;75,6;
385;Edam-Volendam;Darmkanker 2024;75,6;
589;Oudewater;Darmkanker 2024;75,6;
1700;Twenterand;Borstkanker 2022-2024;75,6;
299;Zevenaar;Borstkanker 2022-2024;75,6;
753;Best;Darmkanker 2024;75,5;
252;Heumen;Darmkanker 2024;75,5;
1731;Midden-Drenthe;Borstkanker 2022-2024;75,5;
840;Rucphen;Darmkanker 2024;75,5;
737;Tytsjerksteradiel;Borstkanker 2022-2024;75,5;
986;Voerendaal;Borstkanker 2022-2024;75,5;
866;Waalre;Darmkanker 2024;75,5;
60;Ameland;Borstkanker 2022-2024;75,4;
109;Coevorden;Borstkanker 2022-2024;75,4;
1719;Drimmelen;Darmkanker 2024;75,4;
